model_ids,dimensions,source_type,source_url,retrieved_at,profile_claim,profile_confidence,comparability_note
gpt-5.6-sol|gpt-5.6-terra|gpt-5.6-luna,broad coding|latency/cost positioning|context capability,vendor_official,https://openai.com/index/gpt-5-6/,2026-07-31,"Sol is flagship, Terra balanced, Luna fastest/cost-efficient; official release reports a 1.05M context window.",medium,Curve-shape evidence only; not merged into a common benchmark score.
gpt-5.6-sol,terminal/tool use|long-horizon agent|repository engineering,vendor_official,https://openai.com/index/previewing-gpt-5-6-sol/,2026-07-31,"Official preview positions Sol for coding, terminal and long-horizon agent work.",medium,Curve-shape evidence only; not merged into a common benchmark score.
claude-opus-4-8,repository engineering|long-horizon agent|context capability,vendor_official,https://www.anthropic.com/claude/opus,2026-07-31,Official Opus page emphasizes long-running coding and agent tasks with sustained consistency.,medium,Curve-shape evidence only; not merged into a common benchmark score.
gemini-3.5-flash,terminal/tool use|long-horizon agent|latency/cost positioning,vendor_official,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/,2026-07-31,Official release reports agentic/terminal benchmarks and fast deployment positioning.,medium,Curve-shape evidence only; not merged into a common benchmark score.
gemini-2.5-flash,latency/cost positioning|context capability,vendor_official,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash,2026-07-31,Catalog curve is a low-confidence same-family relative estimate; it is included because this callable fallback can become the actual execution model.,low,Curve-shape evidence only; not merged into a common benchmark score.
deepseek-v4-flash|deepseek-v4-pro,terminal/tool use|long-horizon agent|latency/cost positioning,vendor_official,https://api-docs.deepseek.com/news/news260424/,2026-07-31,Official comparison says Flash is near Pro on simple agent tasks while Pro leads on complex reasoning.,high,Curve-shape evidence only; not merged into a common benchmark score.
glm-5.2,repository engineering|terminal/tool use|long-horizon agent,vendor_official,https://zcode.z.ai/en/docs/agents,2026-07-31,"Official coding-agent documentation targets multi-turn, tool-driven engineering workflows.",medium,Curve-shape evidence only; not merged into a common benchmark score.
kimi-k2.7-code,broad coding|repository engineering|terminal/tool use|long-horizon agent,vendor_official,https://huggingface.co/moonshotai/Kimi-K2.7-Code,2026-07-31,"Official model card reports gains over K2.6 across coding-agent suites, with harness differences explicitly noted.",medium,Curve-shape evidence only; not merged into a common benchmark score.
kimi-k3,broad coding|repository engineering|terminal/tool use|long-horizon agent|context capability,vendor_official,https://www.kimi.com/blog/kimi-k3,2026-07-31,"Official K3 results are competitive with Fable 5 across coding, terminal, browsing, tool-use, reasoning and knowledge-work suites; harness differences are disclosed.",medium,Curve-shape evidence only; not merged into a common benchmark score.
kimi-k3|claude-fable-5,broad reasoning|terminal/tool use|knowledge work|coding,vendor_official,https://artificialanalysis.ai/models/kimi-k3,2026-07-31,Artificial Analysis Intelligence Index v4.1 measures K3 max at 57.1123 and Fable 5 with fallback at 59.8606 under one independent composite methodology.,medium,Curve-shape evidence only; not merged into a common benchmark score.
qwen3.7-max|qwen3.6-plus|qwen3.5-flash,broad coding|context capability|latency/cost positioning,vendor_official,https://qwenlm.github.io/qwen-code-docs/en/users/configuration/model-providers/,2026-07-31,Official Qwen Code provider documentation identifies current model roles; direct cross-vendor score comparability is unavailable.,low,Curve-shape evidence only; not merged into a common benchmark score.
meta-llama/llama-4-maverick|meta-llama/llama-3.3-70b-instruct,broad capability|context capability,vendor_official,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,2026-07-31,Fallback curves use low-confidence family-relative placement so actual execution is visible; no cross-vendor score equivalence is claimed.,low,Curve-shape evidence only; not merged into a common benchmark score.
deepseek/deepseek-chat-v3-0324,broad coding|latency/cost positioning,vendor_official,https://api-docs.deepseek.com/news/news250325,2026-07-31,Legacy callable fallback is relatively anchored below the pinned V4 Flash position.,low,Curve-shape evidence only; not merged into a common benchmark score.
qwen/qwen3-235b-a22b,broad coding|tool use,vendor_official,https://huggingface.co/Qwen/Qwen3-235B-A22B,2026-07-31,Callable fallback is relatively anchored to the audited Qwen family; harness comparability is unavailable.,low,Curve-shape evidence only; not merged into a common benchmark score.
all_phase2a_models,broad coding|repository engineering,benchmark_official,https://huggingface.co/datasets/OpenHands/openhands-index,2026-07-31,Pinned OpenHands SWE-bench aggregates retain overall ability positions.,medium,"Agent-harness-dependent aggregate; used for position, not curve shape."
